symbol,entrez,logfc,adjpv
Prosapip1,280670,1.0065612,0.001603626
Olr868,405110,1.0810075,0.001597007
Ppp1r1c,499818,1.1340923,0.001583924
Foxi3,502846,1.004124,0.001583924
Aebp2,297705,1.1395199,0.001571863
Grm6,24419,1.0287238,0.001566453
Scrt1,366951,1.0102141,0.001566453
Tpo,54314,1.0400962,0.001524179
Olr1226,300551,1.113559,0.001524179
Pirt,497929,1.5185161,0.001524179
Pebp4,691997,1.4176288,0.001524179
Lrrc63,364427,1.319134,0.00144544
Cacng5,140726,1.2233505,0.001329092
Ccdc85a,289855,1.3997734,0.001329092
Ccr8,301066,1.5582436,0.001329092
Trim16,303214,1.2053368,0.001329092
LOC690082,690082,1.0463551,0.001329092
Tas2r125,690481,1.6414475,0.001329092
Zfp414,299647,1.1779476,0.001322684
Krtap14l,363739,1.1590463,0.001306767
Adcy2,81636,1.2812893,0.001304958
Tnni3k,295531,1.3458623,0.001293084
Olr1517,287516,1.0069203,0.001192216
LOC686108,686108,1.2067448,0.001192216
Fstl3,114031,1.2352077,0.001187199
LOC678966,678966,1.2628944,0.001187199
Fam155a,498667,1.2745185,0.001175609
Lcn5,29552,1.0343063,0.001174426
LOC686141,686141,1.160896,0.001174426
Myh3,24583,1.0223058,0.001074779
Olr1338,405073,1.2475183,0.001025406
Olr1516,287520,1.0633037,0.000999
RGD1562874,366005,1.0466529,0.000992
Olr704,404818,1.2319071,0.000992
LOC60591,60591,1.1398687,0.000956
Kcns2,66022,1.506197,0.000947
RGD1309870,289778,1.6993517,0.000931
Spire2,307925,1.1223204,0.000902
LOC100362110,100362110,1.2299929,0.000893
Accn3,286920,1.1614721,0.000886
Olr1468,404977,1.3927183,0.000886
Gal,29141,1.0026536,0.000884
Gnao1,50664,1.1504227,0.000884
Olr493,295758,1.2265551,0.000884
Shisa2,498528,1.1280905,0.000884
G6b,406865,1.1090726,0.000857
RGD1560019,367121,1.37047,0.000848
LOC688874,688874,1.3457358,0.000835
Rhd,60414,1.0417967,0.00082
Olr1530,405997,1.6578852,0.000814
RGD1560483,296516,1.1651413,0.00081
Agbl1,308724,1.6767625,0.00081
Lrrc25,498605,1.0046201,0.000803
RGD1564428,498866,1.2641736,0.000803
Banf2,296198,1.1355425,0.000796
Olr107,293246,1.1103178,0.000789
Irx6,307715,1.153277,0.00077
Dsg1b,291755,1.4836202,0.000736
Lrfn2,316205,1.312704,0.000736
Pmfbp1,171414,1.0255849,0.000732
Arsj,311013,1.1326246,0.000732
Sypl2,362018,1.7297611,0.000732
Pgr15l,296867,1.0929542,0.000731
Alx1,25401,1.4748509,0.000726
Olr1424,405056,1.1497416,0.000695
Olr50,293210,1.5903798,0.000694
Lmln,363795,1.1725019,0.00068
Runx2,367218,1.059516,0.000643
